Year,Month,Downtown Passengers,Midtown Passengers
2012,12,357686,340468
2012,11,499081,391271
2012,10,350695,281824
2012,9,341335,277703
2012,8,416813,333408
2012,7,392495,316238
2012,6,391596,310069
2012,5,386391,313598
2012,4,352267,320983
2012,3,376537,283168
2012,2,341315,241472
2012,1,344572,257464
2011,12,326169,313186
2011,11,354880,292974
2011,10,383322,294423
2011,9,387910,290018
2011,8,405698,307506
2011,7,393453,312535
2011,6,427337,308751
2011,5,381004,297533
2011,4,349990,292422
2011,3,394269,277142
2011,2,328591,225214
2011,1,325565,239863
2010,12,325212,282344
2010,11,346173,279935
2010,10,367413,284285
2010,9,378645,279575
2010,8,400455,313412
2010,7,400544,307174
2010,6,408838,307036
2010,5,342464,283609
2010,4,363908,313998
2010,3,383322,274260
2010,2,285649,203680
2010,1,316801,241997
2009,12,321627,285352
2009,11,321586,272386
2009,10,368071,285327
2009,9,361301,288404
2009,8,356478,308750
2009,7,387298,323554
2009,6,378609,306621
2009,5,325656,285703
2009,4,339215,326670
2009,3,344427,268242
2009,2,307667,226848
2009,1,335528,253559
2008,12,350361,351716
2008,11,338394,288384
2008,10,442180,332045
2008,9,415439,311071
2008,8,415562,364894
2008,7,454959,385006
2008,6,424689,355738
2008,5,397767,329535
2008,4,415685,334408
2008,3,375656,355027
2008,2,366032,269403
2008,1,405463,303699
2007,12,340282,379723
2007,11,402210,346945
2007,10,473122,375627
2007,9,410971,342456
2007,8,473219,395351
2007,7,449084,386855
2007,6,445699,377380
2007,5,443156,367786
2007,4,376859,367025
2007,3,454529,317419
2007,2,333102,237494
2007,1,406935,317428
2006,12,365827,391553
2006,11,404680,332968
2006,10,420101,324067
2006,9,401620,305939
2006,8,451710,350048
2006,7,394358,336299
2006,6,439562,319929
2006,5,421940,326962
2006,4,369923,349707
2006,3,418309,310888
2006,2,340308,247073
2006,1,377986,330966
2005,12,416757,367747
2005,11,440770,336314
2005,10,469479,315885
2005,9,480792,335152
2005,8,519564,369283
2005,7,460831,357905
2005,6,498799,360360
2005,5,453135,344250
2005,4,434221,339632
2005,3,448451,347368
2005,2,370864,265682
2005,1,393724,331894
2004,12,392076,364677
2004,11,425698,354995
2004,10,459373,360498
2004,9,463755,350553
2004,8,479318,392213
2004,7,478248,376616
2004,6,501809,399228
2004,5,472933,370959
2004,4,501320,450945
2004,3,525362,361037
2004,2,407678,289176
2004,1,427507,301411
2003,12,576432,421878
2003,11,828419,373573
2003,10,1125435,430754
2003,9,1055134,397588
2003,8,969464,425367
2003,7,1060742,452672
2003,6,981063,384116
2003,5,952846,391583
2003,4,974985,493959
2003,3,946151,391374
2003,2,759748,307732
2003,1,893484,387265
2002,12,894827,475985
2002,11,924909,434870
2002,10,1094300,479393
2002,9,994090,457966
2002,8,1041788,512223
2002,7,1039784,509284
2002,6,902690,470086
2002,5,919757,475770
2002,4,898205,501658
2002,3,823181,464660
2002,2,753417,379221
2002,1,837368,424412
2001,12,708249,519744
2001,11,752625,527733
2001,10,747811,563624
2001,9,413818,381875
2001,8,472172,415029
2001,7,458067,388112
2001,6,479885,379970
2001,5,462857,364922
2001,4,403181,381929
2001,3,364473,306938
2001,2,308897,288392
2001,1,346949,317827
2000,12,297584,352014
2000,11,351953,339965
2000,10,403260,337142
2000,9,392454,324756
2000,8,434920,370503
2000,7,413299,370286
2000,6,414253,359179
2000,5,389193,333157
2000,4,323456,372281
2000,3,361082,335024
2000,2,283278,282398
2000,1,285074,297081
1999,12,321609,403836
1999,11,320903,338897
1999,10,350979,328362
1999,9,357182,300915
1999,8,404090,335367
1999,7,400160,329099
1999,6,402416,335619
1999,5,348478,303587
1999,4,338784,343464
1999,3,340383,275309
1999,2,276660,268675
1999,1,282407,258084
1998,12,312564,340244
1998,11,347609,292741
1998,10,347688,279391
1998,9,358268,262106
1998,8,378776,290998
1998,7,396057,289414
1998,6,390825,293411
1998,5,328677,270107
1998,4,348325,310767
1998,3,326425,260248
1998,2,257651,218735
1998,1,289961,279478
